sentence_key	expe_sentence_key	OK_Expe_perception	texte_expe	type-de-phrase	OK_praat_seg	neg	num_syll_OK_Expe_perception	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	texte	dossier-brat	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_id	TEMPspkid	spk_age	spk_sex	nombre_syll
WE2_A001_1952s875	010-de-0-AL-5-WE2_A001_1952s875	YES	je comprends bien ça	decla	YES	NO	5	NO	NO	4	NO	NO	je comprends bien ça  	WE2_decl_4	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	ch_OB1	AL	NOAGE	M	5
WE2_A001_6885	091-yn-0-AD-5-WE2_A001_6885	YES	ça a fait une heure là ? 	yes-no	YES	NO	6	NO	NO	3	NO	NO	ça a fait une heure là ? 	whisf-eslo2-yn	6	NO	NO	NO	subj-full-DP	NO	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk2	ça a fait une heure là ?	BV1	AD	NOAGE	M	6
WE2_A003_2012		NO	vous allez faire quoi alors à tours ? 	wh-in-situ	NA	NO	9	quoi	NO	3	NO	autre	et vous allez faire quoi alors à Tours ? 	whisf-eslo2	8	in-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk2	et vous allez faire quoi alors à Tours ?	ch_CD2		NOAGE	F	10
WE2_A003_2972s210	025-de-0-AW-6-WE2_A003_2972s210	YES	j'aime bien les bords de loire	decla	YES	NO	6	NO	NO	4	NO	NO	j'aime bien les bords de Loire  	WE2_decl_6	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	KC3	AW	NOAGE	F	6
WE2_A003_4686s24	026-de-0-AW-10-WE2_A003_4686s24	YES	j'ai entendu une espagnole aussi	decla	YES	NO	10	NO	NO	3	NO	NO	ouais j'ai entendu une espagnole aussi  	WE2_decl_6	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	KC3	AW	NOAGE	F	12
WE2_A003_4693	051-we-0-AW-7-WE2_A003_4693	YES	comment vous perçoivent les autres ? 	wh-ex-situ	YES	NO	7	comment	NO	3	NO	autre	comment vous perçoivent les autres ? 	whisf-eslo2	5	ex-situ	NO	NO	subj-full-DP	NO	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	comment vous perçoivent les autres ?	KC3	AW	NOAGE	F	7
WE2_A004_91	041-we-0-AL-10-WE2_A004_91	YES	depuis quand vous êtes euh dans cette maison ? 	wh-ex-situ	YES	NO	10	quand	NO	3	NO	autre	euh donc depuis quand vous êtes euh dans cette maison ? 	whisf-eslo2-yn	10	ex-situ	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	2	NO	NO	NO	spk1	euh donc depuis quand vous êtes euh dans cette maison ?	ch_OB1	AL	NOAGE	M	13
WE2_A005_206	100-yn-0-AL-6-WE2_A005_206	YES	c'était vraiment un choix ? 	yes-no	YES	NO	6	NO	NO	3	NO	NO	et donc ça c'était vraiment un choix ? 	whisf-eslo2-yn	7	NO	NO	NO	subj-full-DP	NO	ce-subj	2	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	et donc ça c'était vraiment un choix ?	ch_OB1	AL	NOAGE	M	10
WE2_A007_1392s98	028-de-0-BC-9-WE2_A007_1392s98	YES	il fait jour le matin et le soir  	decla	YES	NO	8	NO	NO	3	NO	NO	et maintenant il fait jour le matin et le soir  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		ZU9	BC	NOAGE	F	
WE2_A007_1541s511	029-de-0-BC-8-WE2_A007_1541s511	YES	je pense que c'est le quartier bannier	decla	YES	NO	8	NO	NO	4	NO	NO	je pense que c'est le quartier Bannier  	WE2_decl_7	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	ZU9	BC	NOAGE	F	9
WE2_A007_1740s485		NO	j'ai horreur des commentaires désagréables sur un film que j'ai adoré  	decla	NA	NO	19	NO	NO	2	NO	NO	et j'ai horreur des commentaires désagréables sur un film que j'ai adoré  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		ZU9		NOAGE	F	
WE2_A007_2503s051		NO	je ne suis pas la personne la mieux placée pour te répondre  	decla	NA	YES	15	NO	NO	3	NO	NO	je ne suis pas la personne la mieux placée pour te répondre  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		ZU9		NOAGE	F	
WE2_A007_2577s594	030-de-0-BC-13-WE2_A007_2577s594	YES	je me rend compte que tu as un très léger accent  	decla	YES	NO	12	NO	NO	3	NO	NO	tu vois je me rend compte que tu as un très léger accent  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		ZU9	BC	NOAGE	F	
WE2_A007_4520	097-yn-0-AH-7-WE2_A007_4520	YES	tu t'y plais dans ce quartier ? 	yes-no	YES	NO	7	NO	NO	4	NO	NO	tu t'y plais dans ce quartier ? 	whisf-eslo2-yn	6	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	tu t'y plais dans ce quartier ?	ch_CD2	AH	NOAGE	F	7
WE2_A007_917	098-yn-0-AH-5-WE2_A007_917	YES	tu étais monitrice ? 	yes-no	YES	NO	6	NO	NO	3	NO	NO	euh tu étais monitrice ? 	whisf-eslo2-yn	4	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	euh	1	0	NO	NO	NO	spk1	euh tu étais monitrice ?	ch_CD2	AH	NOAGE	F	7
WE2_A008_1238s554	021-de-0-AU-6-WE2_A008_1238s554	YES	je trouve que c'est dommage	decla	YES	NO	6	NO	NO	4	NO	NO	et ça je trouve que c'est dommage  	WE2_decl_7	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	HF8	AU	NOAGE	F	8
WE2_A008_3247s562	022-de-0-AU-5-WE2_A008_3247s562	YES	c'est intéressant	decla	YES	NO	12	NO	NO	3	NO	NO	bah tu peux donner ton avis c'est intéressant  	WE2_decl_8	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	HF8	AU	NOAGE	F	13
WE2_A008_3824	071-wi-0-AI-5-WE2_A008_3824	YES	ça finirait quand ? 	wh-in-situ	YES	NO	5	quand	NO	3	YES	autre	et les six mois ça finirait quand ? 	whisf-eslo2-yn	7	in-situ	NO	NO	subj-full-DP	NO	NO	2	NO	NO	0	NO	NO	0	1	flechi	lexical	YES	NO	NO	0	0	NO	NO	NO	spk1	et les six mois ça finirait quand ?	ch_GC4	AI	NOAGE	M	10
WE2_A008_3922s864	023-de-0-AU-7-WE2_A008_3922s864	YES	c'est pas que la langue de banlieue	decla	YES	NO	7	NO	NO	4	NO	NO	c'est pas que la langue de banlieue  	WE2_decl_7	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	HF8	AU	NOAGE	F	8
WE2_A008_3984s177	024-de-0-AU-9-WE2_A008_3984s177	YES	ils disent bonsoir même quand c'est le matin	decla	YES	NO	9	NO	NO	4	NO	NO	ils disent bonsoir même quand c'est le matin  	WE2_decl_8	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	HF8	AU	NOAGE	F	10
WE2_A010_7196	069-wi-0-AH-3-WE2_A010_7196	YES	t’y mets quoi ?	wh-in-situ	YES	NO	3	quoi	NO	3	YES	objet	t’y mets quoi ?			in-situ										NO														spk1		ch_CD2	AH	NOAGE	F	
WE2_A012_139		NO	où est-ce qu'ils habitent tes parents ?	wh-ex-situ	NA	NO	8	où	YES	2	NO	autre	où est-ce qu'ils habitent tes parents ?																											spk1		ch_PP6		NOAGE	F	
WE2_A012_164	042-we-1-AM-10-WE2_A012_164	YES	qu'est-ce que tu penses du quartier où tu habites ?	wh-ex-situ	YES	NO	10	que-qu	YES	4	NO	objet	qu'est-ce que tu penses du quartier où tu habites ?													NO														spk1		ch_PP6	AM	NOAGE	F	
WE2_A012_4298	043-we-1-AM-11-WE2_A012_4298	YES	qu'est-ce que tu penses de la politique locale ?	wh-ex-situ	YES	NO	11	que-qu	YES	3	NO	objet	après il y une question sur la politique locale mais si tu as pas envie d'en parler qu'est-ce que tu penses de la politique locale ?													NO														spk1		ch_PP6	AM	NOAGE	F	
WE2_A012_6143		NO	dans quels contextes est-ce que tu es confronté à l'anglais ?	wh-ex-situ	NA	NO	13	quel	YES	3	NO	autre	et dans quels contextes est-ce que tu es confronté à l'anglais ?																											spk1		ch_PP6		NOAGE	F	
WE2_A012_91		NO	où est-ce que tu vis en ce moment ?	wh-ex-situ	NA	NO	8	où	YES	4	NO	autre	où est-ce que tu vis en ce moment ?																											spk1		ch_PP6		NOAGE	F	
WE2_A014_147s558	020-de-0-AT-10-WE2_A014_147s558	YES	elle est dans un lycée professionnel  	decla	YES	NO	10	NO	NO	4	NO	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		EW15	AT	NOAGE	F	
WE2_A016_2716s551	009-de-0-AC-7-WE2_A016_2716s551	YES	on était à santiago	decla	YES	NO	8	NO	NO	3	NO	NO	on était à Santiago  	WE2_decl_4	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	BT17	AC	NOAGE	M	9
WE2_A016_8165	070-wi-0-AH-4-WE2_A016_8165	YES	vous étiez où ?	wh-in-situ	YES	NO	4	où	NO	4	YES	autre	et au Chili vous étiez où ?			in-situ										NO														spk1		ch_CD2	AH	NOAGE	F	
WE2_A018_1809s772	027-de-0-AX-14-WE2_A018_1809s772	YES	je faisais beaucoup de musique aussi quand j'étais plus jeune  	decla	YES	NO	13	NO	NO	3	NO	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  			NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		UI19	AX	NOAGE	M	
WE2_A018_3172	099-yn-0-AH-6-WE2_A018_3172	YES	vous vous y trouvez bien ? 	yes-no	YES	NO	6	NO	NO	3	NO	NO	et dans le quartier vous vous y trouvez bien ? 	whisf-eslo2-yn	9	NO	NO	NO	NO	subj-clitic	NO	1	NO	NO	0	NO	NO	0	1	NON	NON	NO	NO	NO	0	0	NO	NO	NO	spk1	et dans le quartier vous vous y trouvez bien ?	ch_CD2	AH	NOAGE	F	11
WE2_A019_1414	067-wi-0-AG-3-WE2_A019_1414	YES	tu fais quoi ? 	wh-in-situ	YES	NO	3	quoi	NO	3	YES	objet	d'accord et euh quand tu travailles pas tu fais quoi ? 	whisf-eslo2	10	in-situ	NO	NO	NO	subj-clitic	NO	2	NO	comp-adjoint	1	NO	NO	0	2	flechi	lexical	YES	NO	d'accord et euh	3	0	NO	NO	NO	spk1	d'accord et euh quand tu travailles pas tu fais quoi ?	ch_BH8	AG	NOAGE	M	13
