sentence_key	OLD_sentence_key	texte_expe	item	type-de-phrase	audio_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age
001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	clair	A	M	ch_OB1	05	001	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE
061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	orig	B	M	ch_OB1	05	061	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE
121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	delex	C	M	ch_OB1	05	121	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE
027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	clair	C	F	KC3	06	027	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE
087-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	087-de-OR-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	orig	A	F	KC3	06	087	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE
147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	delex	B	F	KC3	06	147	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE
002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	clair	B	F	KC3	10	002	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE
062-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	062-de-OR-3-A-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	orig	C	F	KC3	10	062	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE
122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	delex	A	F	KC3	10	122	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE
028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	clair	A	F	ZU9	08	028	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE
