file	senttype	wh-type
WE2_F002_4621	wh-	in-situ
WE2_F003_10893	wh-	in-situ
WE2_F003_5117	wh-	ex-situ
WE2_F003_6365	wh-	ex-situ
WE2_F004_2746	wh-	in-situ
WE2_F004_4860	wh-	in-situ
WE2_F005_4246	wh-	in-situ
WE2_F005_4447	wh-	in-situ
WE2_F006_12048	wh-	ex-situ
WE2_J001_3642	wh-	in-situ
WE2_J001_4543	wh-	ex-situ
WE2_J002_1162	wh-	in-situ
WE2_J002_2412	wh-	ex-situ
WE2_J002_287	wh-	in-situ
WE2_J003_1383	wh-	in-situ
WE2_J003_3551	wh-	in-situ
WE2_J003_4311	wh-	in-situ
WE2_J003_582	wh-	in-situ
WE2_J004_1174	wh-	in-situ
WE2_J004_2782	wh-	in-situ
WE2_J005_3721	wh-	ex-situ
WE2_J005_4727	wh-	in-situ
WE2_J005_5830	wh-	ex-situ
WE2_J005_5859	wh-	ex-situ
WE2_J005_64	wh-	in-situ
WE2_J005_710	wh-	in-situ
WE2_J006_2248	wh-	in-situ
WE2_J006_2357	wh-	in-situ
WE2_J006_66	wh-	ex-situ
WE2_J006_6967	wh-	in-situ
WE2_J006_811	wh-	in-situ
WE2_J006_82	wh-	in-situ
WE2_J007_1896	wh-	in-situ
WE2_J007_33	wh-	ex-situ
WE2_J007_3825	wh-	in-situ
WE2_J007_5229	wh-	in-situ
WE2_J008_77	wh-	in-situ
WE2_J009_1419	wh-	in-situ
WE2_J001_5074	yes-no	NO
WE2_F003_7082	yes-no	NO
WE2_J007_8386	yes-no	NO
WE2_J004_3073	yes-no	NO
WE2_F002_288	yes-no	NO
WE2_J006_734	yes-no	NO
WE2_J007_114	yes-no	NO
WE2_J003_162	yes-no	NO
WE2_J006_6085	yes-no	NO
WE2_J009_1341	wh-	in-situ
WE2_J002_1887	yes-no	NO
WE2_J006_2659	yes-no	NO
WE2_J003_3026	yes-no	NO
WE2_J007_3498	yes-no	NO
WE2_F003_3029	yes-no	NO
WE2_J007_6466	yes-no	NO
WE2_J004_3086	yes-no	NO
WE2_J004_4264	yes-no	NO
WE2_J006_5781	yes-no	NO
WE2_J004_1817	yes-no	NO
WE2_J007_4321	yes-no	NO
WE2_F003_4258	yes-no	NO
WE2_J004_3727	yes-no	NO
WE2_J008_3884	yes-no	NO
WE2_F004_5000	wh-	in-situ
WE2_J009_4880	yes-no	NO
WE2_J002_1489	yes-no	NO
WE2_J004_4408	yes-no	NO
WE2_J007_4622	yes-no	NO
WE2_J007_4448	yes-no	NO
WE2_J006_8034	yes-no	NO
WE2_J007_44	yes-no	NO
WE2_J007_1165	yes-no	NO
WE2_J004_4335	yes-no	NO
WE2_J007_2971	yes-no	NO
WE2_F003_4152	yes-no	NO
WE2_J007_8973	yes-no	NO
WE2_J006_2626	yes-no	NO
WE2_J008_2828	yes-no	NO
WE2_J003_1600	wh-	in-situ
WE2_J006_3563	yes-no	NO
WE2_J001_5408	yes-no	NO
WE2_J006_5550	yes-no	NO
WE2_F004_1886	yes-no	NO
WE2_F003_2171	yes-no	NO
WE2_J007_5148	yes-no	NO
WE2_J008_3658	wh-	ex-situ
WE2_J002_1647	yes-no	NO
WE2_F003_3392	yes-no	NO
WE2_J006_3146	yes-no	NO
WE2_J004_564	yes-no	NO
WE2_J006_5495	yes-no	NO
WE2_J007_1185	wh-	in-situ
WE2_J001_5188	yes-no	NO
WE2_J003_2511	yes-no	NO
WE2_M021_241	wh-	ex-situ
WE2_A046_5139	wh-	ex-situ
WE2_M071_181	wh-	ex-situ
WE2_J005_1976	wh-	ex-situ
WE2_M055_42	wh-	ex-situ
WE2_C008_65	wh-	ex-situ
WE2_A012_6143	wh-	ex-situ
WE2_A037_55	wh-	ex-situ
WE2_C014_63	wh-	ex-situ
WE2_A074_532	wh-	ex-situ
WE2_A058_1241	wh-	ex-situ
WE2_A049_2230	wh-	ex-situ
WE2_A012_91	wh-	ex-situ
WE2_A012_139	wh-	ex-situ
WE2_A012_164	wh-	ex-situ
WE2_A022_8756	wh-	ex-situ
WE2_A019_5499	wh-	ex-situ
WE2_A012_4298	wh-	ex-situ
WE2_M017_146	wh-	ex-situ
WE2_M020_118	wh-	ex-situ
WE2_J002_58	wh-	ex-situ
WE2_A077_7075	wh-	ex-situ
WE2_A074_4640	wh-	ex-situ
WE2_J007_62	wh-	ex-situ
WE2_J008_51	wh-	ex-situ
WE2_C020_150	wh-	ex-situ
WE2_J007_1011	wh-	ex-situ
WE2_B019_3338	wh-	ex-situ
WE2_A037_2000	wh-	ex-situ
WE2_J007_3165	wh-	ex-situ
WE2_C019_74	wh-	ex-situ
WE2_C032_87	wh-	ex-situ
WE2_M051_413	wh-	ex-situ
WE2_J007_1319	wh-	ex-situ
WE2_J009_50	wh-	ex-situ
